model,set,lab,sample,response,result
llama-4-maverick,test,lab02,45,return (a * h) / 2,"  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmphp4f6hp9.py"", line 9
    return (a * h) / 2
    ^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,46,"```python
    if n < 0:
        raise ValueError(""n must be a non-negative integer"")
    elif n <= 3:
        return [0, 0, 2, 0][n]
    else:
        fib_values = [0, 0, 2, 0]
        for i in range(4, n + 1):
            fib_values.append(sum(fib_values[-4:]))
        return fib_values[n]
```",Pass
llama-4-maverick,test,lab02,47,"```python
 l.sort()
n = len(l)
if n % 2 == 1:
    return l[n//2]
else:
    return (l[n//2 - 1] + l[n//2]) / 2
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpdsngm_tm.py"", line 11
    l.sort()
            ^
IndentationError: unindent does not match any outer indentation level
"
llama-4-maverick,test,lab02,48,"```python
return text == text[::-1]
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmptemydvnt.py"", line 16
    return text == text[::-1]
    ^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,49,"```python
return pow(2, n, p)
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpmws7glo_.py"", line 17
    return pow(2, n, p)
    ^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,50,"```python
return """".join([chr(((ord(ch) - ord(""a"") - 5) % 26) + ord(""a"")) if ch.islower() else ch for ch in s])
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpeoxiwc7z.py"", line 15
    return """".join([chr(((ord(ch) - ord(""a"") - 5) % 26) + ord(""a"")) if ch.islower() else ch for ch in s])
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,51,return ''.join([char for char in text if char.lower() not in 'aeiou']),"  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpl3tg4f1j.py"", line 20
    return ''.join([char for char in text if char.lower() not in 'aeiou'])
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,52,"```python
for num in l:
    if num >= t:
        return False
return True
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpi77hicyh.py"", line 13
    return False
    ^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,53,return x + y,"  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp2q4gz3v7.py"", line 11
    return x + y
    ^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,54,"```python
from collections import Counter

def same_chars(s0: str, s1: str):
    """"""
    Check if two words have the same characters.
    >>> same_chars('eabcdzzzz', 'dddzzzzzzzddeddabc')
    True
    >>> same_chars('abcd', 'dddddddabc')
    True
    >>> same_chars('dddddddabc', 'abcd')
    True
    >>> same_chars('eabcd', 'dddddddabc')
    False
    >>> same_chars('abcd', 'dddddddabce')
    False
    >>> same_chars('eabcdzzzz', 'dddzzzzzzzddddabc')
    False
    """"""
    return not (Counter(s0) - Counter(s1)) and not (Counter(s1) - Counter(s0))
```","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp5zd8cbxy.py"", line 54, in <module>
    check(same_chars)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp5zd8cbxy.py"", line 45, in check
    assert candidate('eabcdzzzz', 'dddzzzzzzzddeddabc') == True
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
llama-4-maverick,test,lab02,55,"```python
if n <= 0:
    raise ValueError(""n must be a positive integer"")
elif n == 1:
    return 1
elif n == 2:
    return 1
else:
    a, b = 1, 1
    for _ in range(2, n):
        a, b = b, a + b
    return b
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpu0s9em8i.py"", line 16
    return 1
    ^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,56,"```python
count = 0
for bracket in brackets:
    if bracket == ""<"":
        count += 1
    elif bracket == "">"":
        count -= 1
        if count < 0:
            return False
return count == 0
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp23ufooy7.py"", line 24
    return False
    ^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,57,"```python
increasing = all(l[i] <= l[i+1] for i in range(len(l)-1))
decreasing = all(l[i] >= l[i+1] for i in range(len(l)-1))
return increasing or decreasing
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpx26ul9qd.py"", line 15
    return increasing or decreasing
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,58,"```python
return sorted(list(set(l1) & set(l2)))
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpv24exd4t.py"", line 12
    return sorted(list(set(l1) & set(l2)))
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,59,"```python
i = 2
while i * i <= n:
    if n % i:
        i += 1
    else:
        n //= i
return n
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmph8_m6osk.py"", line 17
    return n
    ^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,60,return n * (n + 1) // 2,"  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp01fhyxnu.py"", line 17
    return n * (n + 1) // 2
    ^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,61,"```python
    count = 0
    for bracket in brackets:
        if bracket == '(':
            count += 1
        elif bracket == ')':
            count -= 1
        if count < 0:
            return False
    return count == 0
```",Pass
llama-4-maverick,test,lab02,62,"```python
return [xs[i] * i for i in range(1, len(xs))]
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpfqpciiav.py"", line 13
    return [xs[i] * i for i in range(1, len(xs))]
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,63,"```python
def fibfib(n: int):
    if n <= 1:
        return 0
    elif n == 2:
        return 1
    else:
        a, b, c = 0, 0, 1
        for _ in range(3, n + 1):
            a, b, c = b, c, a + b + c
        return c
```",Pass
llama-4-maverick,test,lab02,64,"```python
s = s.lower()
count = sum(1 for char in s[:-1] if char in 'aeiou')
if s and s[-1] == 'y':
    count += 1
return count
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpedaab187.py"", line 23
    return count
    ^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,65,"```python
    num_str = str(x)
    shift = shift % len(num_str)
    if shift == 0:
        return num_str
    else:
        return num_str[-shift:] + num_str[:-shift]
```","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp7gtbwzo2.py"", line 30, in <module>
    check(circular_shift)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp7gtbwzo2.py"", line 23, in check
    assert candidate(97, 8) == ""79""
           ^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
llama-4-maverick,test,lab02,66,"```python
return sum(ord(c) for c in s if c.isupper())
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp83zg3ua0.py"", line 16
    return sum(ord(c) for c in s if c.isupper())
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,67,"```python
import re

def fruit_distribution(s,n):
    """"""
    In this task, you will be given a string that represents a number of apples and oranges 
    that are distributed in a basket of fruit this basket contains 
    apples, oranges, and mango fruits. Given the string that represents the total number of 
    the oranges and apples and an integer that represent the total number of the fruits 
    in the basket return the number of the mango fruits in the basket.
    for examble:
    fruit_distribution(""5 apples and6 oranges"",19) ->19 -5 -6 =8
    fruit_distribution(""0 apples and1 oranges"",3) ->3 -0 -1 =2
    fruit_distribution(""2 apples and3 oranges"",100) ->100 -2 -3 =95
    fruit_distribution(""100 apples and1 oranges"",120) ->120 -100 -1 =19
    """"""
    numbers = re.findall('\d+', s)
    return n - int(numbers[0]) - int(numbers[1])
```",Pass
llama-4-maverick,test,lab02,68,"```python
    min_even = float('inf')
    min_index = float('inf')
    for i, num in enumerate(arr):
        if num % 2 == 0 and num <= min_even:
            if num < min_even:
                min_even = num
                min_index = i
            elif num == min_even and i < min_index:
                min_index = i
    return [min_even, min_index] if min_even != float('inf') else []
```",Pass
llama-4-maverick,test,lab02,69,"```python
    freq = {}
    for num in lst:
        if num in freq:
            freq[num] += 1
        else:
            freq[num] = 1

    max_num = -1
    for num, count in freq.items():
        if count >= num and num > max_num:
            max_num = num

    return max_num
```",Pass
llama-4-maverick,test,lab02,70,"```python
    result = []
    while lst:
        min_val = min(lst)
        result.append(min_val)
        lst.remove(min_val)
        if lst:
            max_val = max(lst)
            result.append(max_val)
            lst.remove(max_val)
    return result
```",Pass
llama-4-maverick,test,lab02,71,"```python
    if a + b > c and a + c > b and b + c > a:
        s = (a + b + c) / 2
        area = (s * (s - a) * (s - b) * (s - c)) ** 0.5
        return round(area, 2)
    else:
        return -1
```",Pass
llama-4-maverick,test,lab02,72,"```python
def will_it_fly(q,w):
    return q == q[::-1] and sum(q) <= w
```",Pass
llama-4-maverick,test,lab02,73,"```python
    count = 0
    n = len(arr)
    for i in range(n // 2):
        if arr[i] != arr[n - 1 - i]:
            count += 1
    return count
```",Pass
llama-4-maverick,test,lab02,74,"```python
def total_match(lst1, lst2):
    total_chars_lst1 = sum(len(s) for s in lst1)
    total_chars_lst2 = sum(len(s) for s in lst2)
    return lst1 if total_chars_lst1 <= total_chars_lst2 else lst2
```",Pass
llama-4-maverick,test,lab02,75,"```python
def is_multiply_prime(a):
    primes = [2, 3, 5, 7, 11, 13, 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61, 67, 71, 73, 79, 83, 89, 97]
    for i in primes:
        if a % i == 0:
            for j in primes:
                if j >= i:
                    break
                if (a // i) % j == 0:
                    for k in primes:
                        if k >= j:
                            break
                        if (a // (i * j)) == k:
                            return True
    return False
```","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpyvc2dzi_.py"", line 39, in <module>
    check(is_multiply_prime)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpyvc2dzi_.py"", line 29, in check
    assert candidate(8) == True
           ^^^^^^^^^^^^^^^^^^^^
AssertionError
"
llama-4-maverick,test,lab02,76,"```python
import math

def is_simple_power(x, n):
    if x == 1:
        return n >= 1
    if n == 1:
        return x == 1
    log_value = math.log(x, n)
    return math.isclose(log_value, round(log_value))
```",Pass
llama-4-maverick,test,lab02,77,"```python
    if a < 0:
        return round((-a) ** (1. / 3)) ** 3 == -a
    return round(a ** (1. / 3)) ** 3 == a
```",Pass
llama-4-maverick,test,lab02,78,"```python
    prime_hex_digits = {'2', '3', '5', '7', 'B', 'D'}
    return sum(1 for digit in num if digit in prime_hex_digits)
```",Pass
llama-4-maverick,test,lab02,79,return 'db' + bin(decimal)[2:] + 'db',"  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpn_h62693.py"", line 15
    return 'db' + bin(decimal)[2:] + 'db'
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,80,"```python
if len(s) < 3:
    return False
for i in range(len(s) - 2):
    if len(set(s[i:i+3])) != 3:
        return False
return True
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp3ph5791q.py"", line 16
    return False
    ^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,81,"```python
def numerical_letter_grade(grades):
    def grade(gpa):
        if gpa == 4.0:
            return 'A+'
        elif gpa > 3.7:
            return 'A'
        elif gpa > 3.3:
            return 'A-'
        elif gpa > 3.0:
            return 'B+'
        elif gpa > 2.7:
            return 'B'
        elif gpa > 2.3:
            return 'B-'
        elif gpa > 2.0:
            return 'C+'
        elif gpa > 1.7:
            return 'C'
        elif gpa > 1.3:
            return 'C-'
        elif gpa > 1.0:
            return 'D+'
        elif gpa > 0.7:
            return 'D'
        elif gpa > 0.0:
            return 'D-'
        else:
            return 'E'

    return [grade(gpa) for gpa in grades]
```",Pass
llama-4-maverick,test,lab02,82,"def is_prime(n):
    if n <= 1:
        return False
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    max_divisor = int(n**0.5) + 1
    for d in range(3, max_divisor, 2):
        if n % d == 0:
            return False
    return True

return is_prime(len(string))","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpqvak3vtu.py"", line 25
    return is_prime(len(string))
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,83,"```python
def starts_one_ends(n):
    count = 0
    for i in range(10**(n-1), 10**n):
        str_i = str(i)
        if str_i[0] == '1' or str_i[-1] == '1':
            count += 1
    return count
```",Pass
llama-4-maverick,test,lab02,84,"```python
    # Calculate the sum of digits
    sum_of_digits = sum(int(digit) for digit in str(N))
    
    # Convert the sum to binary and remove the '0b' prefix
    binary_sum = bin(sum_of_digits)[2:]
    
    return binary_sum
```",Pass
llama-4-maverick,test,lab02,85,"```python
return sum(lst[i] for i in range(1, len(lst), 2) if lst[i] % 2 == 0)
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpw2lk18pw.py"", line 10
    return sum(lst[i] for i in range(1, len(lst), 2) if lst[i] % 2 == 0)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,86,"```python
def anti_shuffle(s):
    return ' '.join(''.join(sorted(word)) for word in s.split(' '))
```",Pass
llama-4-maverick,test,lab02,87,"```python
    coordinates = [(i, j) for i, row in enumerate(lst) for j, val in enumerate(row) if val == x]
    coordinates.sort(key=lambda x: (x[0], -x[1]))
    return coordinates
```",Pass
llama-4-maverick,test,lab02,88,"```python
    if not array:
        return array
    
    first_last_sum = array[0] + array[-1]
    sorted_array = sorted(array)
    
    if first_last_sum % 2 == 0:
        return sorted_array[::-1]
    else:
        return sorted_array
```",Pass
llama-4-maverick,test,lab02,89,"```python
def encrypt(s):
    """"""Create a function encrypt that takes a string as an argument and
    returns a string encrypted with the alphabet being rotated. 
    The alphabet should be rotated in a manner such that the letters 
    shift down by two multiplied to two places.
    For example:
    encrypt('hi') returns 'lm'
    encrypt('asdfghjkl') returns 'ewhjklnop'
    encrypt('gf') returns 'kj'
    encrypt('et') returns 'ix'
    """"""
    shift = 2 * 2  # shift down by 4 places
    result = """"
    for char in s:
        if char.isalpha():
            ascii_offset = 97 if char.islower() else 65
            result += chr((ord(char) - ascii_offset + shift) % 26 + ascii_offset)
        else:
            result += char
    return result
```",Pass
llama-4-maverick,test,lab02,90,"```python
unique_elements = list(set(lst))
unique_elements.sort()
return unique_elements[1] if len(unique_elements) > 1 else None
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp9t4d1djr.py"", line 16
    return unique_elements[1] if len(unique_elements) > 1 else None
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,91,"```python
    sentences = S.replace('?', '.').replace('!', '.').split('.')
    count = sum(1 for sentence in sentences if sentence.strip().startswith('I'))
    return count
```","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpsgulixd5.py"", line 32, in <module>
    check(is_bored)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpsgulixd5.py"", line 22, in check
    assert candidate(""Is the sky blue?"") == 0, ""Test 2""
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError: Test 2
"
llama-4-maverick,test,lab02,92,"```python
if not (isinstance(x, int) and isinstance(y, int) and isinstance(z, int)):
    return False
return x == y + z or y == x + z or z == x + y
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp6s1ab24e.py"", line 22
    return False
    ^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,93,"```python
 vowels = 'aeiouAEIOU'
 result = ''
 for char in message:
  if char.isalpha():
   if char.lower() in vowels:
    idx = 'aeiou'.index(char.lower())
    new_char = 'aeiou'[(idx + 2) % 5]
    result += new_char.upper() if char.isupper() else new_char
   else:
    result += char.swapcase()
  else:
   result += char
 return result
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpkd1hqc2u.py"", line 17
    vowels = 'aeiouAEIOU'
                         ^
IndentationError: unindent does not match any outer indentation level
"
llama-4-maverick,test,lab02,94,"```python
def skjkasdkd(lst):
    def is_prime(n):
        if n < 2:
            return False
        for i in range(2, int(n**0.5) + 1):
            if n % i == 0:
                return False
        return True

    max_prime = max((x for x in lst if is_prime(x)), default=0)
    return sum(int(digit) for digit in str(max_prime))
```",Pass
llama-4-maverick,test,lab02,95,"```python
def check_dict_case(dict):
    if not dict:
        return False
    keys = dict.keys()
    lower_case_keys = [key for key in keys if isinstance(key, str) and key.islower()]
    upper_case_keys = [key for key in keys if isinstance(key, str) and key.isupper()]
    non_string_keys = [key for key in keys if not isinstance(key, str)]
    return len(lower_case_keys) == len(keys) or (len(upper_case_keys) == len(keys) and len(non_string_keys) == 0)
```",Pass
llama-4-maverick,test,lab02,96,"```python
def count_up_to(n):
    def is_prime(num):
        if num < 2:
            return False
        for i in range(2, int(num**0.5) + 1):
            if num % i == 0:
                return False
        return True

    primes = []
    for i in range(2, n):
        if is_prime(i):
            primes.append(i)
    return primes
```",Pass
llama-4-maverick,test,lab02,97,return (abs(a) % 10) * (abs(b) % 10),"  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpjr69w8dx.py"", line 13
    return (abs(a) % 10) * (abs(b) % 10)
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,98,"```python
upper_vowels = 'AEIOU'
count = 0
for i, char in enumerate(s):
    if i % 2 == 0 and char in upper_vowels:
        count += 1
return count
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmplice5ujp.py"", line 17
    return count
    ^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,99,"```python
def closest_integer(value):
    num = float(value)
    lower = int(num)
    upper = lower + 1 if num >= 0 else lower - 1
    if abs(num - lower) == abs(num - upper):
        return upper if num > 0 else lower - 1
    elif abs(num - lower) < abs(num - upper):
        return lower
    else:
        return upper
```",Pass
llama-4-maverick,test,lab02,100,"```python
    result = [n]
    for _ in range(n-1):
        if n % 2 == 0:
            n += 2
        else:
            n += 2 if n % 2 != 0 else 1
        result.append(n)
    return result
```",Pass
llama-4-maverick,test,lab02,101,"```python
import re

def words_string(s):
    return re.findall(r'\w+', s)
```",Pass
llama-4-maverick,test,lab02,102,"if x > y:
    return -1
for num in range(y, x-1, -1):
    if num % 2 == 0:
        return num
return -1","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpkwsd5ksg.py"", line 13
    return -1
    ^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,103,"```python
    if n > m:
        return -1
    total = (m + n) * (m - n + 1) // 2
    avg = total / (m - n + 1)
    rounded = round(avg)
    return bin(rounded)
```",Pass
llama-4-maverick,test,lab02,104,"```python
def unique_digits(x):
    def has_no_even_digit(n):
        return all(int(digit) % 2 != 0 for digit in str(n))

    return sorted([num for num in x if has_no_even_digit(num)])
```",Pass
llama-4-maverick,test,lab02,105,"```python
    num_dict = {
        1: ""One"", 2: ""Two"", 3: ""Three"", 4: ""Four"", 5: ""Five"",
        6: ""Six"", 7: ""Seven"", 8: ""Eight"", 9: ""Nine""
    }
    filtered_arr = sorted([num for num in arr if 1 <= num <= 9])
    filtered_arr.reverse()
    return [num_dict[num] for num in filtered_arr]
```",Pass
llama-4-maverick,test,lab02,106,"```python
def f(n):
    """""" Implement the function f that takes n as a parameter,
    and returns a list of size n, such that the value of the element at index i is the factorial of i if i is even
    or the sum of numbers from1 to i otherwise.
    i starts from1.
    the factorial of i is the multiplication of the numbers from1 to i (1 *2 * ... * i).
    Example:
    f(5) == [1,2,6,24,15]
    """"""
    result = []
    for i in range(1, n + 1):
        if i % 2 == 0:
            fact = 1
            for j in range(1, i + 1):
                fact *= j
            result.append(fact)
        else:
            result.append(i * (i + 1) // 2)
    return result
```",Pass
llama-4-maverick,test,lab02,107,"```python
def even_odd_palindrome(n):
    even_count = 0
    odd_count = 0
    for i in range(1, n + 1):
        if str(i) == str(i)[::-1]:
            if i % 2 == 0:
                even_count += 1
            else:
                odd_count += 1
    return (even_count, odd_count)
```",Pass
llama-4-maverick,test,lab02,108,"```python
def count_nums(arr):
    count = 0
    for num in arr:
        num_str = str(abs(num))
        signed_digits = [int(d) if i != 0 else -int(d) for i, d in enumerate(num_str)] if num < 0 else [int(d) for d in num_str]
        if sum(signed_digits) > 0:
            count += 1
    return count
```",Pass
llama-4-maverick,test,lab02,109,"```python
def move_one_ball(arr):
    if not arr:
        return True
    n = len(arr)
    sorted_arr = sorted(arr)
    for i in range(n):
        rotated_arr = arr[-i:] + arr[:-i]
        if rotated_arr == sorted_arr:
            return True
    return False
```",Pass
llama-4-maverick,test,lab02,110,"```python
    count_odd_lst1 = sum(1 for num in lst1 if num % 2 != 0)
    count_even_lst2 = sum(1 for num in lst2 if num % 2 == 0)
    return ""YES"" if count_odd_lst1 <= count_even_lst2 else ""NO""
```",Pass
llama-4-maverick,test,lab02,111,"```python
    letters = test.split()
    if not letters:
        return {}
    count_dict = {}
    for letter in letters:
        if letter in count_dict:
            count_dict[letter] += 1
        else:
            count_dict[letter] = 1
    max_count = max(count_dict.values())
    return {letter: count for letter, count in count_dict.items() if count == max_count}
```",Pass
llama-4-maverick,test,lab02,112,"```python
    result_string = ''.join([char for char in s if char not in c])
    is_palindrome = result_string == result_string[::-1]
    return (result_string, is_palindrome)
```",Pass
llama-4-maverick,test,lab02,113,"```python
    count_list = []
    for s in lst:
        count = sum(int(digit) % 2 for digit in s)
        result = ""the number of odd elements{}n the str{}ng{} of the{}nput."".format(count, count, count, count)
        count_list.append(result)
    return count_list
```","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp2fqxv4tj.py"", line 36, in <module>
    check(odd_count)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmp2fqxv4tj.py"", line 24, in check
    assert candidate(['1234567']) == [""the number of odd elements 4n the str4ng 4 of the 4nput.""], ""Test 1""
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError: Test 1
"
llama-4-maverick,test,lab02,114,"```python
min_sum = float('inf')
current_sum = 0
for num in nums:
    current_sum = min(num, current_sum + num)
    min_sum = min(min_sum, current_sum)
return min_sum
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpx398iu81.py"", line 16
    return min_sum
    ^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,115,"```python
    total_water = sum(sum(row) for row in grid)
    return math.ceil(total_water / capacity)
```","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpzn61_my2.py"", line 55, in <module>
    check(max_fill)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpzn61_my2.py"", line 52, in check
    assert candidate([[1,1,1,1], [1,1,1,1]], 9) == 2, ""Error""
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError: Error
"
llama-4-maverick,test,lab02,116,"```python
return sorted(arr, key=lambda x: (bin(x).count('1'), x))
```","  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpzoiw492e.py"", line 14
    return sorted(arr, key=lambda x: (bin(x).count('1'), x))
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
SyntaxError: 'return' outside function
"
llama-4-maverick,test,lab02,117,"```python
def select_words(s, n):
    vowels = 'aeiou'
    words = s.split()
    result = []
    for word in words:
        consonant_count = sum(1 for char in word.lower() if char not in vowels)
        if consonant_count == n:
            result.append(word)
    return result
```",Pass
llama-4-maverick,test,lab02,118,"```python
    vowels = 'aeiouAEIOU'
    for i in range(len(word) - 2, 0, -1):
        if word[i] in vowels and word[i-1] not in vowels and word[i+1] not in vowels:
            return word[i]
    return """"
```",Pass
llama-4-maverick,test,lab02,119,"```python
    count1_open = lst[0].count('(')
    count1_close = lst[0].count(')')
    count2_open = lst[1].count('(')
    count2_close = lst[1].count(')')
    
    if count1_open - count1_close + count2_open - count2_close == 0:
        return 'Yes'
    elif count1_open + count2_open - (count1_close + count2_close) == 0:
        return 'Yes'
    else:
        return 'No'
```","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpinz36_ay.py"", line 49, in <module>
    check(match_parens)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpinz36_ay.py"", line 41, in check
    assert candidate([')(', ')(']) == 'No'
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
llama-4-maverick,test,lab02,120,"```python
def maximum(arr, k):
    return sorted(arr, reverse=True)[:k]
```","Traceback (most recent call last):
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpt08pg31r.py"", line 48, in <module>
    check(maximum)
  File ""/var/folders/3f/dx390skx54s51c7kcqjp8gt80000gn/T/tmpt08pg31r.py"", line 33, in check
    assert candidate([-3, -4, 5], 3) == [-4, -3, 5]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AssertionError
"
